frame,player_id,distance,team,rank
1000,home_120,0.4539928127798147,home,1
1000,home_616,0.4539928127798147,home,2
1000,home_688,0.4539928127798147,home,3
1000,away_485,0.4539928127798147,away,4
1000,away_674,0.4539928127798147,away,5
1001,home_120,0.4715569421378039,home,1
1001,home_616,0.4715569421378039,home,2
1001,home_688,0.4715569421378039,home,3
1001,away_485,0.4715569421378039,away,4
1001,away_674,0.4715569421378039,away,5
1002,home_120,0.4831454843186536,home,1
1002,home_616,0.4831454843186536,home,2
1002,home_688,0.4831454843186536,home,3
1002,away_485,0.4831454843186536,away,4
1002,away_674,0.4831454843186536,away,5
1003,home_120,0.49036811061124963,home,1
1003,home_616,0.49036811061124963,home,2
1003,home_688,0.49036811061124963,home,3
1003,away_485,0.49036811061124963,away,4
1003,away_674,0.49036811061124963,away,5
1004,home_120,0.49517729002804056,home,1
1004,home_616,0.49517729002804056,home,2
1004,home_688,0.49517729002804056,home,3
1004,away_485,0.49517729002804056,away,4
1004,away_674,0.49517729002804056,away,5
1005,home_120,0.5032549713053476,home,1
1005,home_616,0.5032549713053476,home,2
1005,home_688,0.5032549713053476,home,3
1005,away_485,0.5032549713053476,away,4
1005,away_674,0.5032549713053476,away,5
1006,home_120,0.5487697016499298,home,1
1006,home_616,0.5487697016499298,home,2
1006,home_688,0.5487697016499298,home,3
1006,away_485,0.5487697016499298,away,4
1006,away_674,0.5487697016499298,away,5
1007,home_120,0.5710928561254693,home,1
1007,home_616,0.5710928561254693,home,2
1007,home_688,0.5710928561254693,home,3
1007,away_485,0.5710928561254693,away,4
1007,away_674,0.5710928561254693,away,5
1008,home_120,0.5746254681848015,home,1
1008,home_616,0.5746254681848015,home,2
1008,home_688,0.5746254681848015,home,3
1008,away_485,0.5746254681848015,away,4
1008,away_674,0.5746254681848015,away,5
1009,home_120,0.6079441993135499,home,1
1009,home_616,0.6079441993135499,home,2
1009,home_688,0.6079441993135499,home,3
1009,away_485,0.6079441993135499,away,4
1009,away_674,0.6079441993135499,away,5
1010,home_120,0.6083231977490073,home,1
1010,home_616,0.6083231977490073,home,2
1010,home_688,0.6083231977490073,home,3
1010,away_485,0.6083231977490073,away,4
1010,away_674,0.6083231977490073,away,5
1011,home_120,0.60645864060527,home,1
1011,home_616,0.60645864060527,home,2
1011,home_688,0.60645864060527,home,3
1011,away_485,0.60645864060527,away,4
1011,away_674,0.60645864060527,away,5
1012,home_120,0.6046530748168256,home,1
1012,home_616,0.6046530748168256,home,2
1012,home_688,0.6046530748168256,home,3
